iter	Passed	Remaining
0	1	1877
1	5	2759
2	7	2642
3	10	2688
4	12	2500
5	14	2331
6	16	2333
7	18	2285
8	21	2406
9	23	2336
10	25	2273
11	26	2221
12	28	2196
13	31	2189
14	33	2195
15	35	2204
16	37	2159
17	38	2104
18	39	2060
19	41	2026
20	42	1996
21	44	1966
22	46	1983
23	48	1956
24	49	1913
25	49	1870
26	50	1829
27	51	1791
28	52	1760
29	53	1733
30	54	1705
31	55	1676
32	56	1654
33	58	1664
34	59	1647
35	60	1625
36	61	1604
37	62	1584
38	63	1571
39	64	1551
40	65	1531
41	66	1513
42	67	1494
43	68	1477
44	69	1471
45	70	1460
46	72	1462
47	73	1459
48	74	1446
49	75	1435
50	76	1422
51	77	1409
52	78	1401
53	79	1389
54	80	1377
55	81	1365
56	82	1356
57	83	1351
58	84	1351
59	86	1347
60	86	1339
61	88	1331
62	89	1324
63	89	1315
64	90	1305
65	91	1296
66	92	1290
67	93	1277
68	94	1269
69	95	1265
70	96	1263
71	99	1280
72	100	1272
73	101	1265
74	102	1258
75	102	1250
76	104	1249
77	105	1243
78	106	1236
79	106	1230
80	108	1225
81	109	1221
82	111	1233
83	113	1233
84	113	1225
85	114	1220
86	115	1211
87	116	1206
88	117	1201
89	118	1200
90	119	1195
91	120	1190
92	121	1187
93	124	1200
94	125	1196
95	126	1190
96	127	1186
97	128	1182
98	129	1179
99	130	1174
100	131	1169
101	131	1161
102	132	1157
103	133	1152
104	135	1150
105	136	1149
106	137	1149
107	138	1147
108	139	1144
109	140	1140
110	141	1136
111	142	1132
112	143	1129
113	144	1126
114	145	1122
115	146	1116
116	147	1114
117	149	1115
118	150	1114
119	151	1110
120	152	1106
121	153	1103
122	153	1097
123	154	1094
124	155	1090
125	156	1087
126	157	1083
127	158	1080
128	159	1079
129	161	1078
130	163	1081
131	164	1079
132	164	1075
133	165	1072
134	166	1068
135	167	1065
136	168	1064
137	169	1059
138	170	1056
139	171	1053
140	172	1050
141	173	1048
142	174	1048
143	176	1047
144	177	1044
145	178	1044
146	179	1042
147	180	1039
148	181	1036
149	182	1034
150	183	1032
151	184	1029
152	185	1027
153	187	1027
154	188	1029
155	189	1026
156	190	1023
157	191	1020
158	192	1017
159	193	1016
160	194	1014
161	195	1011
162	196	1008
163	197	1006
164	198	1006
165	200	1005
166	201	1004
167	202	1002
168	203	1000
169	204	997
170	205	994
171	206	992
172	207	990
173	208	988
174	209	985
175	210	983
176	211	981
177	212	981
178	214	984
179	215	982
180	216	977
181	216	975
182	217	972
183	218	970
184	219	969
185	220	967
186	221	964
187	222	962
188	223	960
189	224	959
190	226	960
191	227	959
192	228	956
193	230	955
194	230	953
195	231	951
196	232	948
197	233	946
198	234	944
199	235	943
200	236	941
201	238	940
202	239	940
203	241	941
204	242	939
205	243	937
206	244	935
207	245	933
208	246	933
209	247	931
210	248	930
211	249	928
212	250	927
213	252	928
214	253	926
215	254	925
216	256	924
217	257	922
218	258	920
219	259	918
220	259	916
221	261	915
222	262	914
223	263	913
224	265	915
225	266	913
226	267	911
227	268	909
228	269	907
229	271	908
230	272	907
231	273	905
232	274	903
233	275	903
234	277	902
235	278	902
236	280	901
237	297	952
238	300	955
239	302	959
240	305	963
241	312	978
242	315	982
243	317	983
244	339	1046
245	341	1045
246	342	1045
247	344	1043
248	345	1041
249	346	1039
250	347	1038
251	349	1036
252	359	1060
253	360	1058
254	362	1057
255	363	1055
256	364	1052
257	365	1050
258	366	1049
259	368	1049
260	369	1046
261	370	1044
262	371	1041
263	372	1039
264	373	1036
265	374	1034
266	375	1031
267	376	1029
268	378	1027
269	379	1026
270	382	1028
271	383	1026
272	384	1023
273	385	1021
274	386	1018
275	387	1016
276	388	1014
277	389	1011
278	390	1009
279	391	1007
280	393	1007
281	395	1005
282	396	1003
283	397	1000
284	398	998
285	398	996
286	399	993
287	400	990
288	401	988
289	402	986
290	404	984
291	405	982
292	406	980
293	408	980
294	409	978
295	410	976
296	411	973
297	412	971
298	413	969
299	414	967
300	415	964
301	416	962
302	417	960
303	418	958
304	420	957
305	421	956
306	422	954
307	423	951
308	424	949
309	425	946
310	426	945
311	427	943
312	428	941
313	429	938
314	431	937
315	432	935
316	434	936
317	435	934
318	437	932
319	438	930
320	438	928
321	439	926
322	440	923
323	441	922
324	442	919
325	444	917
326	445	915
327	447	916
328	448	915
329	449	912
330	450	910
331	451	908
332	452	906
333	453	904
334	454	902
335	455	900
336	456	898
337	457	896
338	460	897
339	461	896
340	462	893
341	463	891
342	465	890
343	466	889
344	467	886
345	467	884
346	468	882
347	469	880
348	470	878
349	472	878
350	474	877
351	475	875
352	476	873
353	477	870
354	478	869
355	479	867
356	480	865
357	481	863
358	482	861
359	483	859
360	484	857
361	486	856
362	487	856
363	488	853
364	489	851
365	490	849
366	491	847
367	492	846
368	493	844
369	494	842
370	495	840
371	496	838
372	499	839
373	501	839
374	502	837
375	503	835
376	504	833
377	505	832
378	506	830
379	507	828
380	508	826
381	509	824
382	510	823
383	512	821
384	513	820
385	514	818
386	515	816
387	516	814
388	517	813
389	518	811
390	519	809
391	520	807
392	521	805
393	522	803
394	523	801
395	524	799
396	526	799
397	527	798
398	528	796
399	529	794
400	530	792
401	531	791
402	532	789
403	533	787
404	534	785
405	536	784
406	537	782
407	539	783
408	541	782
409	542	780
410	543	778
411	544	776
412	544	774
413	546	772
414	547	771
415	548	769
416	548	767
417	550	765
418	552	766
419	554	765
420	554	763
421	555	761
422	556	759
423	558	758
424	559	756
425	560	754
426	561	752
427	561	750
428	563	749
429	564	748
430	566	747
431	567	746
432	568	744
433	569	742
434	570	740
435	571	739
436	572	737
437	573	735
438	574	734
439	575	732
440	576	731
441	578	730
442	580	729
443	581	727
444	582	726
445	583	724
446	584	722
447	585	721
448	586	719
449	587	718
450	588	716
451	589	715
452	591	714
453	594	714
454	595	713
455	596	711
456	597	709
457	598	708
458	599	706
459	600	705
460	601	703
461	602	702
462	604	701
463	606	700
464	607	698
465	608	697
466	609	695
467	610	693
468	611	692
469	612	691
470	613	689
471	614	687
472	616	686
473	617	685
474	619	684
475	620	682
476	621	680
477	621	679
478	623	677
479	623	675
480	624	674
481	625	672
482	626	670
483	627	669
484	629	668
485	631	667
486	632	666
487	633	664
488	635	663
489	636	662
490	637	660
491	638	659
492	639	657
493	641	656
494	642	655
495	644	654
496	645	653
497	646	651
498	647	649
499	648	648
500	649	646
501	650	645
502	651	643
503	652	642
504	653	640
505	654	639
506	656	638
507	658	637
508	659	635
509	660	634
510	661	632
511	662	631
512	663	629
513	664	627
514	665	626
515	666	625
516	667	623
517	669	622
518	671	622
519	672	620
520	673	618
521	674	617
522	675	615
523	676	614
524	677	612
525	678	611
526	679	609
527	680	608
528	681	607
529	683	606
530	684	604
531	685	603
532	686	601
533	687	600
534	688	598
535	689	596
536	690	595
537	691	593
538	692	592
539	693	590
540	696	590
541	697	589
542	698	587
543	699	586
544	700	584
545	701	583
546	702	581
547	703	580
548	704	578
549	705	577
550	706	575
551	707	574
552	710	573
553	711	572
554	711	570
555	712	569
556	713	567
557	715	566
558	716	564
559	717	563
560	717	561
561	718	560
562	720	558
563	721	557
564	723	556
565	724	555
566	725	553
567	726	552
568	727	550
569	728	549
570	729	548
571	730	546
572	731	545
573	732	543
574	733	542
575	735	541
576	737	540
577	738	538
578	739	537
579	740	536
580	741	535
581	742	533
582	743	532
583	744	530
584	745	529
585	746	527
586	749	526
587	750	525
588	751	524
589	752	522
590	753	521
591	754	519
592	756	518
593	756	517
594	757	515
595	758	514
596	759	512
597	762	512
598	763	511
599	764	509
600	765	508
601	766	506
602	767	505
603	768	503
604	769	502
605	770	500
606	771	499
607	772	497
608	773	496
609	775	495
610	777	494
611	778	493
612	779	491
613	779	490
614	780	488
615	782	487
616	783	486
617	783	484
618	784	483
619	785	481
620	787	480
621	789	479
622	790	478
623	791	477
624	792	475
625	793	474
626	794	472
627	795	471
628	796	469
629	797	468
630	798	466
631	799	465
632	800	464
633	802	463
634	803	462
635	804	460
636	805	459
637	806	457
638	807	456
639	808	454
640	809	453
641	810	452
642	811	450
643	812	449
644	814	448
645	815	447
646	816	445
647	817	444
648	818	442
649	819	441
650	820	440
651	821	438
652	822	437
653	823	435
654	824	434
655	825	432
656	826	431
657	828	430
658	830	429
659	831	428
660	832	426
661	833	425
662	834	423
663	835	422
664	836	421
665	837	419
666	838	418
667	839	417
668	841	416
669	843	415
670	844	413
671	844	412
672	845	411
673	847	409
674	847	408
675	848	406
676	849	405
677	850	404
678	852	402
679	853	401
680	854	400
681	856	399
682	857	397
683	858	396
684	859	395
685	860	393
686	861	392
687	862	391
688	863	389
689	864	388
690	865	387
691	866	385
692	869	385
693	870	383
694	871	382
695	871	380
696	873	379
697	874	378
698	874	376
699	875	375
700	877	374
701	878	372
702	879	371
703	880	370
704	882	369
705	883	367
706	884	366
707	884	364
708	885	363
709	886	362
710	888	361
711	889	359
712	890	358
713	890	356
714	892	355
715	893	354
716	895	353
717	896	352
718	897	350
719	898	349
720	899	347
721	900	346
722	901	345
723	902	343
724	903	342
725	904	341
726	905	339
727	906	338
728	908	337
729	909	336
730	910	335
731	911	333
732	912	332
733	913	331
734	914	329
735	915	328
736	916	327
737	917	325
738	918	324
739	919	323
740	921	321
741	922	320
742	923	319
743	924	318
744	925	316
745	926	315
746	927	314
747	928	312
748	929	311
749	930	310
750	931	308
751	932	307
752	934	306
753	935	305
754	936	303
755	937	302
756	938	301
757	939	300
758	940	298
759	941	297
760	942	296
761	943	294
762	945	293
763	948	292
764	949	291
765	950	290
766	951	289
767	952	287
768	953	286
769	954	285
770	955	283
771	956	282
772	957	281
773	958	279
774	960	278
775	962	277
776	963	276
777	964	275
778	965	273
779	966	272
780	967	271
781	968	269
782	968	268
783	969	267
784	970	265
785	972	264
786	973	263
787	975	262
788	976	261
789	977	259
790	977	258
791	979	257
792	980	255
793	981	254
794	982	253
795	983	251
796	984	250
797	985	249
798	987	248
799	988	247
800	989	245
801	990	244
802	991	243
803	992	242
804	994	240
805	995	239
806	996	238
807	997	236
808	998	235
809	999	234
810	1001	233
811	1002	232
812	1003	230
813	1004	229
814	1005	228
815	1006	226
816	1007	225
817	1008	224
818	1009	223
819	1010	221
820	1011	220
821	1012	219
822	1013	218
823	1014	216
824	1015	215
825	1016	214
826	1017	212
827	1018	211
828	1019	210
829	1020	208
830	1021	207
831	1022	206
832	1023	205
833	1025	204
834	1026	202
835	1027	201
836	1028	200
837	1029	199
838	1030	197
839	1031	196
840	1032	195
841	1033	193
842	1034	192
843	1035	191
844	1036	190
845	1039	189
846	1040	187
847	1041	186
848	1042	185
849	1043	184
850	1044	182
851	1045	181
852	1045	180
853	1047	179
854	1048	177
855	1049	176
856	1049	175
857	1051	174
858	1053	172
859	1053	171
860	1054	170
861	1055	169
862	1056	167
863	1058	166
864	1059	165
865	1060	164
866	1062	162
867	1063	161
868	1065	160
869	1066	159
870	1067	158
871	1068	156
872	1069	155
873	1070	154
874	1071	153
875	1072	151
876	1074	150
877	1075	149
878	1077	148
879	1079	147
880	1080	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1086	138
887	1125	141
888	1126	140
889	1128	139
890	1130	138
891	1131	136
892	1132	135
893	1133	134
894	1135	133
895	1136	131
896	1138	130
897	1146	130
898	1148	129
899	1150	127
900	1151	126
901	1153	125
902	1154	124
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1164	112
912	1166	111
913	1166	109
914	1168	108
915	1169	107
916	1170	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1179	95
925	1180	94
926	1181	93
927	1182	91
928	1183	90
929	1184	89
930	1185	87
931	1186	86
932	1186	85
933	1187	83
934	1189	82
935	1190	81
936	1191	80
937	1193	78
938	1194	77
939	1195	76
940	1195	74
941	1196	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1201	67
947	1202	65
948	1205	64
949	1206	63
950	1207	62
951	1208	60
952	1209	59
953	1210	58
954	1211	57
955	1212	55
956	1213	54
957	1214	53
958	1215	51
959	1217	50
960	1218	49
961	1219	48
962	1220	46
963	1221	45
964	1222	44
965	1223	43
966	1224	41
967	1225	40
968	1226	39
969	1227	37
970	1228	36
971	1230	35
972	1232	34
973	1233	32
974	1234	31
975	1235	30
976	1236	29
977	1237	27
978	1238	26
979	1239	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1245	18
985	1246	17
986	1247	16
987	1248	15
988	1249	13
989	1249	12
990	1251	11
991	1252	10
992	1253	8
993	1254	7
994	1255	6
995	1257	5
996	1259	3
997	1260	2
998	1261	1
999	1262	0
