iter	Passed	Remaining
0	146	146247
1	148	74196
2	149	49759
3	150	37541
4	151	30202
5	152	25313
6	153	21814
7	154	19201
8	155	17168
9	157	15546
10	158	14211
11	159	13099
12	161	12263
13	162	11471
14	163	10767
15	164	10146
16	166	9643
17	167	9155
18	169	8765
19	171	8388
20	172	8043
21	173	7733
22	175	7458
23	176	7196
24	178	6955
25	179	6729
26	181	6550
27	183	6359
28	184	6172
29	185	5998
30	186	5835
31	188	5715
32	190	5581
33	191	5445
34	192	5318
35	194	5196
36	195	5083
37	196	4975
38	197	4870
39	198	4769
40	199	4674
41	201	4592
42	203	4535
43	204	4453
44	206	4379
45	207	4305
46	208	4235
47	210	4167
48	211	4099
49	212	4034
50	213	3974
51	215	3929
52	217	3884
53	218	3826
54	219	3770
55	220	3718
56	221	3667
57	222	3616
58	223	3571
59	225	3525
60	226	3481
61	227	3439
62	228	3399
63	231	3382
64	232	3342
65	233	3303
66	234	3266
67	235	3229
68	236	3193
69	237	3157
70	238	3123
71	239	3089
72	240	3056
73	242	3029
74	243	3002
75	246	2991
76	247	2962
77	248	2934
78	249	2906
79	250	2878
80	251	2852
81	252	2826
82	253	2795
83	254	2770
84	255	2747
85	257	2735
86	258	2715
87	261	2709
88	262	2689
89	264	2671
90	265	2654
91	267	2635
92	268	2616
93	269	2598
94	271	2583
95	272	2570
96	277	2580
97	278	2563
98	279	2544
99	280	2527
100	281	2509
101	283	2495
102	285	2486
103	286	2471
104	288	2457
105	291	2455
106	292	2440
107	293	2426
108	295	2412
109	296	2399
110	297	2385
111	298	2370
112	300	2357
113	301	2343
114	302	2330
115	308	2348
116	309	2336
117	310	2323
118	312	2311
119	313	2300
120	315	2290
121	316	2276
122	317	2265
123	319	2256
124	322	2254
125	323	2243
126	324	2230
127	325	2219
128	327	2214
129	329	2204
130	331	2195
131	332	2187
132	336	2193
133	337	2182
134	338	2170
135	340	2162
136	341	2152
137	342	2142
138	344	2131
139	345	2122
140	347	2114
141	347	2102
142	350	2101
143	353	2101
144	355	2093
145	356	2084
146	357	2075
147	358	2065
148	360	2056
149	361	2047
150	362	2037
151	365	2038
152	367	2033
153	368	2024
154	369	2015
155	371	2009
156	372	2000
157	374	1995
158	376	1990
159	377	1984
160	380	1984
161	382	1978
162	383	1971
163	385	1963
164	386	1956
165	387	1948
166	389	1940
167	390	1933
168	391	1925
169	392	1918
170	395	1917
171	396	1908
172	397	1900
173	398	1892
174	399	1884
175	400	1876
176	401	1869
177	403	1861
178	404	1854
179	405	1846
180	406	1839
181	408	1835
182	410	1830
183	411	1823
184	412	1817
185	413	1810
186	414	1803
187	416	1797
188	417	1790
189	418	1782
190	419	1775
191	420	1768
192	421	1762
193	424	1762
194	425	1756
195	426	1749
196	427	1743
197	429	1739
198	430	1734
199	432	1728
200	433	1722
201	434	1717
202	435	1711
203	437	1706
204	439	1702
205	440	1696
206	441	1690
207	442	1684
208	443	1679
209	444	1674
210	446	1668
211	447	1663
212	448	1657
213	449	1651
214	453	1654
215	454	1649
216	455	1644
217	456	1638
218	457	1633
219	459	1629
220	460	1623
221	461	1617
222	462	1612
223	463	1606
